HK,ประชุมประจำปี 2025 และวางแผนกลยุทธ์,2025/01/01,2025/01/01
IT,รายงาน IT Support แยกหัวข้อแจ้งปัญหา,2025/01/02,2025/01/02
IT,แก้ไขหน้านับสต๊อกให้สามารถแจ้งพบอุปกรณ์ที่หายย้อนหลังได้,2025/01/02,2025/01/02
IT,รายงานสรุปยอดการใช้งานทั้งปีออก,2025/01/02,2025/01/02
IT,ระบบส่งรายการแจ้งย้ายให้ไอทีสามารถกดยืนยันได้ทันทีและสามารถตรวจสอบผลได้ทันที,2025/01/03,2025/01/04
IT,เพิ่ม Title ข้อความแจ้งปัญหาให้ลิงค์ที่แชร์รายการแจ้งปัญหา,2025/01/04,2025/01/04
PAS,ทบทวนและปรับปรุงขั้นตอนการอนุมัติโปรเจกต์ (Phase I),2025/01/06,2025/01/08
APP,ออกแบบ Mockup สำหรับ Mobile App (หน้า Login),2025/01/09,2025/01/10
HT_Report,สรุปยอดขายรายวันและจัดทำรายงานเพื่อนำเสนอ,2025/01/13,2025/01/13
HK,ประชุมคณะกรรมการครั้งที่ 2/2025,2025/02/03,2025/02/03
APP,เริ่มพัฒนา Feature A (User Story Mapping),2025/02/04,2025/02/07
IT,อัพเกรดระบบปฏิบัติการ Server หลักทั้งหมด,2025/02/10,2025/02/14
PAS,อบรมการใช้ระบบ ERP ใหม่ให้แก่ทีมบัญชี,2025/02/17,2025/02/17
HT_Report,จัดทำรายงานพยากรณ์ไตรมาส 2/2025,2025/02/24,2025/02/26
IT,แก้ไข Bug Critical ในระบบแจ้งปัญหา (Hotfix),2025/03/03,2025/03/03
APP,ทดสอบ Beta Version ของ Mobile App (UAT),2025/03/05,2025/03/12
PAS,เจรจาสัญญากับ Supplier รายใหม่,2025/03/14,2025/03/14
HK,จัดทำแผนงบประมาณประจำปี 2026,2025/03/17,2025/03/21
IT,เตรียมข้อมูลสำหรับการ Audit ระบบความปลอดภัย,2025/03/25,2025/03/28
HK,กิจกรรมสร้างทีม (Team Building),2025/04/04,2025/04/04
PAS,ประเมินผลผู้สมัครตำแหน่ง Project Manager,2025/04/07,2025/04/11
APP,ปล่อย Mobile App Version 1.0 สู่ Production,2025/04/15,2025/04/15
IT,ติดตั้งระบบ Firewall ใหม่,2025/04/18,2025/04/24
HT_Report,สรุปผลการดำเนินการไตรมาส 1/2025,2025/04/28,2025/04/30
IT,บำรุงรักษาระบบฐานข้อมูลครั้งใหญ่,2025/05/05,2025/05/07
APP,วางแผน Feature B (รองรับการชำระเงิน),2025/05/08,2025/05/09
PAS,ทบทวน KPI ของพนักงานไตรมาส 2,2025/05/12,2025/05/16
HK,เตรียมการประชุมผู้ถือหุ้น,2025/05/20,2025/05/20
HT_Report,จัดทำรายงานสภาพตลาดประจำเดือน,2025/05/26,2025/05/27
APP,เริ่มพัฒนา Feature B,2025/06/02,2025/06/13
IT,สำรองข้อมูลระบบ ERP ฉุกเฉิน,2025/06/06,2025/06/06
PAS,สรุปผลการประเมินผู้รับเหมา,2025/06/16,2025/06/16
HK,ทบทวนโครงสร้างองค์กร,2025/06/19,2025/06/20
HT_Report,พยากรณ์แนวโน้มยอดขายครึ่งปีหลัง,2025/06/23,2025/06/25
IT,จัดทำเอกสารคู่มือการใช้งานระบบใหม่,2025/07/01,2025/07/04
PAS,อบรมทักษะการนำเสนอสำหรับทีมขาย,2025/07/07,2025/07/11
APP,ทดสอบ Feature B (Payment Gateway Integration),2025/07/14,2025/07/25
HK,ประชุมครึ่งปีเพื่อปรับเป้าหมาย 2025,2025/07/28,2025/07/28
HT_Report,สรุปผลการดำเนินงานครึ่งปีแรก 2025,2025/08/04,2025/08/08
IT,ติดตั้งและคอนฟิกเครื่อง Workstation ใหม่ 5 ชุด,2025/08/11,2025/08/15
APP,แก้ไข Feedback จาก UAT Feature B,2025/08/18,2025/08/20
PAS,เริ่มต้นการสรรหาพนักงานใหม่ 3 ตำแหน่ง,2025/08/21,2025/08/29
HK,ตรวจสุขภาพประจำปีของพนักงาน,2025/09/01,2025/09/01
IT,วางแผนโครงการ Migration สู่ Cloud (Phase I),2025/09/03,2025/09/10
APP,วางแผน Feature C (ระบบแจ้งเตือน Push),2025/09/11,2025/09/12
PAS,เตรียมเอกสารส่งมอบงานไตรมาส 3,2025/09/15,2025/09/15
HT_Report,จัดทำรายงานมูลค่าทรัพย์สินและหนี้สิน,2025/09/22,2025/09/24
IT,ดำเนินการย้ายระบบหลักเข้าสู่ Cloud Server,2025/10/01,2025/10/10
HK,ทบทวนและอนุมัติงบประมาณ 2026 ฉบับร่าง,2025/10/13,2025/10/17
APP,พัฒนา Feature C (Push Notification),2025/10/20,2025/10/31
PAS,สรุปผลการสรรหาและทำสัญญาว่าจ้าง,2025/10/27,2025/10/27
HT_Report,จัดทำรายงานผลตอบแทนการลงทุน (ROI),2025/11/03,2025/11/05
APP,ทดสอบ Feature C และเตรียมปล่อย Version 1.2,2025/11/10,2025/11/14
IT,อบรมการใช้เครื่องมือใหม่ให้กับทีม IT Support,2025/11/17,2025/11/18
PAS,เตรียมแผนการทำงานสำหรับปี 2026,2025/11/20,2025/11/28
HK,งานเลี้ยงสังสรรค์ส่งท้ายปี (จัดเตรียม),2025/11/25,2025/11/26
HK,ทบทวนผลประกอบการปี 2025 ครั้งสุดท้าย,2025/12/01,2025/12/01
IT,ทำรายงานสรุปโครงการ Cloud Migration (Final Report),2025/12/02,2025/12/05
APP,แก้ไข Bug เล็กน้อยก่อนปีใหม่ (Maintenance),2025/12/08,2025/12/12
PAS,ประชุมปิดไตรมาสและกำหนดเป้าหมายเริ่มต้น 2026,2025/12/15,2025/12/19
HT_Report,ปิดงบการเงินและเตรียมเอกสารผู้สอบบัญชี,2025/12/22,2025/12/26